"title","review","stars","productname","platform"
"",Will not add vehicle. Enter the VIN and it brings up the vehicle but everytime I try to save it pops up error unable to save. Absolutely useless app and entertainment center is unusable,"1.00",TOYOTA,ANDROID
"","Awfully slow when it decides to connect. Most of the times it takes me a whole day to be able to log into it. But recently it just keeps ""loading..."" And nothing else! How come Toyota cannot afford a serious mobile app? This one is developped by high schoolers for their projects I suppose.","1.00",TOYOTA,ANDROID
"",Never works for payment,"1.00",TOYOTA,ANDROID
"",Kinda works...except when it doesn't each time I lock the doors I get a check back seat notification..the 4 runner does not have sensors in the back seat...also low key fob warning is on constantly for no reason. it was displaying a constant find your car notification but a reinstall and that is gone..many forums stating the key fob issue..why not fix it ???,"2.00",TOYOTA,ANDROID
"","Can not download digital key on Android phone. Customer service says they know there's an ongoing problem with it, but you can't put a banner in the app to let the users know it? This is the first time I buy a new Lexus and am lucky enough to be bothered by the issue from day 1. The software experience is an important part of customer experience, not less important than leather seats or alloy wheels. Please hire some competent software engineers to get the job done, please.","1.00",LEXUS,ANDROID
Don’t waste your time,Haven’t been able to add my vehicle and I’ve been trying for a week now. Don’t waste your time on this app as customer service doesn’t even get back to you,"1.00",TOYOTA,IOS
Why have the app,I can make a profile but can’t use it. Remote key doesn’t work. Say internal problem. How can you charge 25-40% more than Toyota and can’t get an app to work. Why even have it. It just makes Lexus look like an incompetent car dealer. Your supposed to be better than the rest.,"1.00",LEXUS,IOS
Drains iPhone Battery,"Localisation is used all the time and Background app refresh drains phone battery.
It works, but you need to kill the application after each use unfortunately.","1.00",TOYOTA,IOS
"",Good,"5.00",TOYOTA,ANDROID
"","If yall wanna get paid, you better fix the pay section in the app!","1.00",TOYOTA,ANDROID
!!,I don’t like the app can’t look at the pay it keeps taking money from my account for the next month even though I’m ahead in a payment I don’t like it,"2.00",TOYOTA,IOS
"","Dos años con la aplicacion y continua siendo ineficiente, no me da la data de millaje y nivel de gasolina. Meses mas tarde ahora no veo la data de los mantenimentos realizados.","1.00",TOYOTA,ANDROID
Annoying Quirks,"The app is decent but significantly underwhelming. Two big complaints:
1) why do users have to allow the app to connect to the car literally every time the vehicle starts? The car should be a trusted device and the app and car should auto sync starting from the first day it’s connected. We should not have to reauthorize the app each time. If you don’t connect fast enough, you have to turn the car off and on again to establish the ability to connect. This seems like a huge oversight and should be fixed immediately.
2) I get notified if my windows are left down, but the app should the ability to remotely put the windows up or down.
Other than that the basic info accessibility is nice and the ability to remote start is great.","2.00",TOYOTA,IOS
App is useless. Fix it Toyota!,"App is seriously flawed. Continual issues with connecting to my Grand Highlander, downloading the digital key seems impossible, and I receive notifications of the doors being unlocked when they are in fact locked. The only reason I'm not giving it one start is because the remote start is ok, when it decides to work; otherwise, this would be 1 star.","2.00",TOYOTA,IOS
"",You guys care about your customers...where's the help?,"1.00",TOYOTA,ANDROID
"",Love it,"5.00",LEXUS,ANDROID
Whoever made this app totally destroys the reputation of Lexus,"I have been using this app for a year, (my apologies, let me correct myself,I have been TRYING to use this app for a year, because 90% of the time did not work) I can conclude this app is absolutely garbage.  Wasted me not hours but days or maybe even weeks of my time.","1.00",LEXUS,IOS
"","4 plus years in and still the worst app I have ever used, half the tine it doesn't even work. I expected better from Toyota. Whoever designed this app should be fired.","1.00",TOYOTA,ANDROID
Tire pressure stuck,Tire pressure read stuck on a few days ago and pulse drive stopped working on same day. Now I am supposed to go to dealership and pay for repair. I suspect it is the app. Not happy. All else working in app. Was working fine and the these 2 important features just stopped.,"1.00",TOYOTA,IOS
Terrible app! And will cause trouble w Payments!,"So I’ve had a Toyota vehicle for about 4 years now and I’ve used to app to pay for my vehicles. As of recent I set up reoccurring payments so I don’t have to remind myself every month. A full month goes by and I see my payment has DOUBLED!! I received an email that my payment was posted and don’t have to worry from there on and then I get a bunch of calls asking why I missed my payment. I received ONE follow up email saying I missed my payment 3 weeks after I submitted a payment and same with this month! They could have sent me an email the MOMENT it didn’t go through but no, 3 WEEKS LATER!!! They say they’ve reached out but I’ve asked to change that phone number every time I’ve had my car serviced. Literally the worst app out there. I love Toyota but will probably be trading my vehicle in for a Honda for sure after this altercation. Honda has a cleaner And not as buggy app","1.00",TOYOTA,IOS
Terrible,Have a 2016 Crewmax.  App states my vin is not valid????  Um ok so Toyota sold me a truck with a non valid vin? Dfaq,"1.00",TOYOTA,IOS
"",Disconnects without my consent. Generally slow to load and takes up an exorbitant amount of space. Toyota does not seem to care much about how well this app performs,"1.00",TOYOTA,ANDROID
App & KeyFob both unreliable,This is not acceptable when you can’t get in your car nor start it with either of the two! My special needs kid and I were locked out of the car for about 30 minutes and when when we were able to get in neither the app nor key fob would start the car leaving us to be in this Texas heat of 108 degrees for another hour!!! We live in the hottest spot in south Texas. We had to abandon car and wait until my husband arrived with the key car. Not acceptable Lexus!!!,"1.00",LEXUS,IOS
Add more stats,"Love the app but wish it would show more stats that the actual car shows in battery life, driving score, etc…This would help parents when they lend the car to young drivers and want to see their driving behavior. For the past month.","3.00",TOYOTA,IOS
"","Used to Have a 2021 Tacoma, this is now my 2024 and the app still stinks. Has toyota seen the reviews? app works half the time. I've come to see most apps only work half the time so I won't be too critical. Why does the car shut off when you open the doors? Just to have to restart?? Please help.","1.00",TOYOTA,ANDROID
Does not work,App does not work,"1.00",TOYOTA,IOS
"","It doesn't do anything. It just asks to track your location then all of the features don't work. Don't waste your time. When you try and enter your Vin is says your car doesn't match Toyotas records after correctly identify the year, color and model of my car based on the VIN. They provided information that autofilled then said it's wrong. The only help is ""call Toyota"" and I hope you like hold music.","1.00",TOYOTA,ANDROID
"",Serieux je comprend pas comment une application peut être aussi souvent planter... plus souvent down que en fonction...,"1.00",TOYOTA,ANDROID
Awful,"My car shows an alert, I go to app to see what my tire pressure is and it won’t show me any tire pressures also says no alerts and status is good. Stupid app never shows anything neither does the dumb car why have a 2022 Toyota that doesn’t even show tire pressures","1.00",TOYOTA,IOS
"",Lexus app still opens sporadically. Very disappointing!,"1.00",LEXUS,ANDROID
"",Uninstalling and reinstalling the app seems to have fixed app crashing problem. Back to being a useful app.,"4.00",LEXUS,ANDROID
"",No way to attach receipts for parts used on repairs. Otherwise not bad.,"4.00",TOYOTA,ANDROID
"","You use biometrics to unlock the app, yet when you setup a payment system it requires an authentication method atop that, but forces you to use a third device. When you do that it looks suspicious and locks the account. Slow clap for the developer who made this and never used it... /s","1.00",TOYOTA,ANDROID
Broken,I try multiple times to install and can’t create account. Don’t understand why Toyota tolerates such poor quality.,"1.00",TOYOTA,IOS
GARBAGE,"I HATE this version of the app. It won’t connect to my car, disconnects constantly interfering with my music, books, podcasts, whatever.","1.00",TOYOTA,IOS
Just as bad as the previous version,"Does not load. Cannot register my vehicle. How can a company that makes fantastic cars, fail so badly at a simple phone app???????","1.00",TOYOTA,IOS
Terrible,"No matter what, refuses to recognize my vehicle. Tried when I first got it. A week later, a month later, 3 months later. Nope. Garbage.","1.00",TOYOTA,IOS
"",Rarely works! Worst app ever!,"1.00",TOYOTA,ANDROID
It’s alright,"I liked it at first….easy to see my tire pressure and such. However, recently it has not been able to take my monthly payment through the app. I’m uncertain if the app is under some kind of maintenance or what. I got the app for the ease of making my payments….but the last 2 months, I’ve gotten “there’s an error on our end, try refreshing” when I go to make a payment and have to go to the actual website. Maybe fix your stuff. (I’ve alright deleted and reloaded the app and the issue remained, just fyi).","3.00",TOYOTA,IOS
"","Seriously I pray 🙏 over everything as a Woman of Faith, because I was not too happy with the prior Camry 2024 it is just a matter of choice or opinion. Yes I am glad with this new Toyota Corolla Cross but I was not looking for any Hybrid electric also take some time with the loaner before the new vehicule arrived, it is a medium SUV fit my expectations very comfortable but my preference was a non hybrid/ electric, so far so good smooth driving nice one","5.00",TOYOTA,ANDROID
Can’t even login,"After setting this up after getting my new Camry, it logged me out after a couple days. Once it logged me out every time I try to open it and hit the login button the screen flashes black for a second and goes back to the main login screen with no option or chance to put in my email and password to login. Have tried uninstalling and reinstalling, force closing, clearing the cache and nothing works. Needs an immediate fix as I’ve seen others complaining about this online and have yet to find an actual solution.","1.00",TOYOTA,IOS
App constantly crashes,"I’ve got a fairly new 15 Pro, so it shouldn’t be any issue with the phone. The app just constantly crashes after the last update or two. I cannot use my phone as a digital key any more. 
The remote start functions still work, which is the only thing keeping it from a one star rating. But you can feel the heat emanating with how hard the newest model phone has to work when the app is open while trying to do anything. Very disappointed.","2.00",LEXUS,IOS
"",Update Edit: The Toyota app is trash. On older cars there is no update to remove old apps such as Pandora. At least give us the ability to do that. This will help me decide what not to buy for my next new car.,"1.00",TOYOTA,ANDROID
Usable features but worst price and handling of payment,"The app itself works most of the time, although failing to remotely start once in a while. But the price is ridiculously high comparing most other apps are free. The payment arrangement is the worst of all. Other than saving credit card to their system, we don’t have any other option. And there is no option to just pay without saving the card info. It is also very bizarre to see the requirements to enter billing address without considering the address is already there.","2.00",LEXUS,IOS
"","It took a trip to a dealer to reset the app. Would not recognize my RX's vin# Now it seems to work all right, but will drain the batteries significantly","2.00",LEXUS,ANDROID
"","Only the primary digital key works. I already sent the invite to my wife so she can have her digital key. However, whenever she opens the link to accept the digital key, it opens the toyota app but nothing happens. I really expected a better experience from Toyota.","1.00",TOYOTA,ANDROID
Fix your payment system,"3 months straight of ‘maintenance’ on the payment platform in your app. This is literally the only useful function it provides, please make this a priority.","1.00",TOYOTA,IOS
"",Didn't do anything advertised waste of time.,"1.00",TOYOTA,ANDROID
"","Entune no longer works, says to use this app for support. This app does absolutely nothing related to Entune support. Where is the Entune support, Toyota? It's completely worthless. Thanks so much Toyota! Great job! So much for Toyota constant improvement philosophy!","1.00",TOYOTA,ANDROID
No funciona app de navegación y sonido,Si se utiliza en música y al mismo tiempo con Google maps o Waze se desconecta o sencillamente se deja de escuchar. Lo mismo pasa con llamadas y cualquier app de navegación. Es muy mala experiencia por que no se logra tener una llamada.,"2.00",LEXUS,IOS
"",Horrible app. Never works!!,"1.00",TOYOTA,ANDROID
App connection,I have tried for an an hour to connect and getting no response or try again later! For iPhone connections this stinks!,"1.00",TOYOTA,IOS
Cannot register my vehicle,"After scanning my VIN and hit the save changes button, I get an unable to process changes error.","1.00",TOYOTA,IOS
"",App improved significantly compared to its previous versions.,"4.00",TOYOTA,ANDROID
"","Wish they would have told me I would need a active subscription just start a charge session, let alone SEE my battery percentage. Really messed up underhanded practice. Overall the app has improved since I got the car alittle over a year ago. Just be aware you will basicall always need to pay for the app to just to SEE battery.","3.00",TOYOTA,ANDROID
"",One of the worst smart apps for a car I have ever used. If you remote start the car shuts off once you open the doors. They claim it is a safety feature. No other brand does this. It is an IT fail. Only about 10% of the time remote start works. App is laggy and un responsive most of the time. I would never pay for this services ever.,"1.00",LEXUS,ANDROID
RS,I purchased the app because I wanted to locate my car and see the car status.  But this version of the app has the problem updating the information and the worst part of it is that it never updates the tire pressure even my car has a flat.,"1.00",TOYOTA,IOS
"","Anthony and Antonio were the best! They were kind, caring, patient and efficient. It was a very pleasant experience. They went above and beyond. Buying a car has never been so easy!","5.00",TOYOTA,ANDROID
Pay portion never works,I’ve had this app since I purchased my truck and the pay portion worked initially for me to set up reoccurring payments and now I’m never able to use it lt always says “looks like there’s an error…” and no matter how many times you hit refresh or uninstall and reinstall the app it never works! So there’s no way to update your payment method or have any access to view payment info ever! I regret using this app for any payment needs,"1.00",TOYOTA,IOS
It was 5 star now not.,"I loved this app. It worked well, schedule things with my dealer  and I could  pay my bill on it too. 
Now with the update both of those features do not work or have been removed and the remote start is maybe about 60% successful. So they have some things to address.","3.00",LEXUS,IOS
Could be Better,"There were a number of issues with this app which I’ve written about and now deleted. The one main issue I now have with the app is locating what you’re looking for, such as, previous maintenance records and what was completed. Can’t find the mileage. It is needed, as it was right under how much gas is in the vehicle. Why should now I have to go to my car to get my mileage when it was at my fingertips previously. Anyway, before releasing new updates please check it out yourself and see how difficult it is to find what you’re looking for.","1.00",TOYOTA,IOS
"","They have best cars in automotive world whereas the app is worst in the industry. Buggy and never reliable especially if you have a connected car. Toyota should really take care of this issue otherwise it will lose customers for sure as world us developing fast. Company will be gone like nokia, if they don't work on issues.","1.00",TOYOTA,ANDROID
Love,"I love this app, it’s so convenient to check my car to make sure windows and doors are locked. Open or start it from my phone. Definitely worth the ","5.00",TOYOTA,IOS
Junk,"I’m trying to get connect going but the wheel keeps spinning. My phone is connected, app is open, updated. Junk!","1.00",TOYOTA,IOS
Never worked,"Removed vehicle and removed app. Reinstalled all, activated all the stuff. Never worked other than one notification my doors were unlocked. I’ll go third party for my remote start.","1.00",TOYOTA,IOS
Toyota app,This app never works when I try to pay my car payment. It always says tap to refresh or looks like there’s a problem on our end. FIX THIS I HAVE A LATE FEE NOW!!,"1.00",TOYOTA,IOS
"",Great very nice service,"5.00",TOYOTA,ANDROID
"","The app is okay. It doesn't provide any maintenance schedule for the vehicle and what work needs to be done to the vehicle, which is the primary reason i wanted this app. Sadly, it disappoints, collects data, & provides practically nothing in return. It's about visiting the dealership for details and remote start. None of which I wish to use.","1.00",LEXUS,ANDROID
"","Doesn't unlock my car, doesn't show my car parked, useless app. Was working before, after the update and new interface and ui, it has been terrible.","1.00",TOYOTA,ANDROID
"",Shows old information about my 22 Tundra from June 9th specifically. It won't update. Nothing works.,"1.00",TOYOTA,ANDROID
Command works on and off,Command works on and off. It worked fine at the beginning and now it just gives me error.,"2.00",LEXUS,IOS
"","Can't add my vehicle. Just get ""try again later"" message.","1.00",TOYOTA,ANDROID
Do better Toyota,"You all have amazing vehicles with technology, reliability, appearance and so much more, but this app is absolutely horrible!!!! Please get some techs on it and revamp this thing. Up until this last update I was able to easily pay my car payment, but now all it says, “Looks like there’s an error on our end try again later.” This is extremely irritating and also when scheduling service, instead of linking to your local dealership to set appointment, all it says is call dealership. Please overhaul this ridiculous app and honestly it makes me second guess buying another Toyota in the future.","1.00",TOYOTA,IOS
Garbage,Overall terrible app that gets in the way of operating vehicle.,"1.00",TOYOTA,IOS
"",Car location didnt work if i want it works one time i need reinstal the app all the time i need to check where car is,"1.00",TOYOTA,ANDROID
"",Horrible experience,"1.00",TOYOTA,ANDROID
"",Not working my car Nav4.,"1.00",TOYOTA,ANDROID
App has way too many backend issues that make it useless,"I downloaded the app because I heard it makes it easier to pay your monthly bills without the hassle of using the website.
They recently updated their T&C which basically destroyed the backend of the app. You can’t even use the app to pay your bills or subscriptions due to this issue making it completely useless.
I’ve reached out to the customer service team and their response was basically “wait until we release the new update” which can take months and use the website in the meantime. What’s the point of having the app at all then ??","1.00",TOYOTA,IOS
Slow and Intermittent Reliability,I like the features in the app but I find it slow to load on my iPhone 14 Pro Max and both the Apple Watch and Siri Shortcuts (used on my HomePods) are unreliable. Once these are fixed the app will be worth subscribing to.,"2.00",TOYOTA,IOS
Toyota 2024 se,I have a 2024 Toyota se and I am unable to use my remote services in the the mobile app I feel as if these cars are to to expensive to not have those features this app need a lot of upgrades,"1.00",TOYOTA,IOS
Can’t start the car since 2021 nx350,"User interface was updated around 2121, since then could never start, log in or set up digital keys. Won’t even allow me to start the digital download of the key
Now I have lost my physical keys and have to purchase a whole other one and set it up for 600 at the dealership. It has truly been painful.","1.00",LEXUS,IOS
"","Always shut down , never opens app.","1.00",TOYOTA,ANDROID
"",Super,"5.00",TOYOTA,ANDROID
"","6/13/24-is anyone able to use the app?....... 3/29/24 PLEASE FIX THE APP!!!!!...3/13/24 Hope for an upgrade that allows the app to work properly has completely disappeared. THIS APP SUCKS! Hire new developers...2/29/24 app crashed several times and now doesnt open. ---For the past week, I cannot get into the watch portion (it says login on the phone). Look on the phone and I'm logged in but opening on the phone takes forever and the key fob isnt too much better with remote start. Fix the app!","1.00",TOYOTA,ANDROID
"","Upon receiving the email verification code, the application unexpectedly removes my keyboard, hindering my ability to input the code and potentially leading to account lockout.","3.00",TOYOTA,ANDROID
"",Does not interact with my 2015 Highlander Limited,"1.00",TOYOTA,ANDROID
It’s the true. The app is terrible,"Started out as good. Now it’s stuck in lah lah land. 
Please fix this horrible app.","1.00",LEXUS,IOS
"","La aplicación no funciona para prender el motor, aunque dice que esta activado. Sólo deslaquea y abre también la localización.","1.00",TOYOTA,ANDROID
"","I can't connect my android phone to this car, as an apple phone does. Can Toyota send an update so android can stream?","2.00",TOYOTA,ANDROID
Completely and utterly junk,"This app can only do one thing, is lock and unlock. The start button does not work, downloading the digital key will not work, the app for Apple Watch also doesn’t work. Just none of it works. It does an okay job in telling you tire pressure, gas, and mileage. Please make this app better Toyota!!!","1.00",TOYOTA,IOS
Can’t connect my vehicle,Honestly why even offer an app if it doesn’t work at all? Just wait to release it once it works???,"1.00",TOYOTA,IOS
No appointment scheduling,"The app will not allow me to schedule a service appointment at all, despite updates claiming easy scheduling.","2.00",TOYOTA,IOS
Toyota update to Entune is poor,The Entune Audio System is not showing in this update.   Is Apple Play an option?,"1.00",TOYOTA,IOS
"","App doesn't give you any options for my 2022 4Runner Trd, I thought I could lock and unlocked and remote start my vehicle with it. Let me guess I need to purchase a 2025 to get this features.. 😂😂😂😂","1.00",TOYOTA,ANDROID
Useless,Very slow and useless. Never paying for this app. Send false notifications as well.,"1.00",TOYOTA,IOS
No more service inputs,You use to be able to see your services you had done and also manually add services you had done but for some reason you cannot anymore. Please add that back.,"1.00",TOYOTA,IOS
Not loading or updating,"Cannot check current status of car, just keeps loading….useless no support either","1.00",TOYOTA,IOS
"",Charge to MUCH,"1.00",TOYOTA,ANDROID
"",Best app ever. I like how everything operates.,"5.00",TOYOTA,ANDROID
"","Cette appli est la plus mauvaise qui soit, ne merite meme pas une demi étoile, lenteur, echec pour démarrage a distance a plusieurs reprise, interface non conviviale, tout porte a croire qu'elle a été structurer un vendredi soir au bar du coin","1.00",TOYOTA,ANDROID
"","Takes significantly longer to load - Many features don't work as intended - I click on Health Alerts - it just keeps loading doesn't show the info Update : Remote climate fails to function, Temperature schedule fails to function Totally disappointed with my purchase","1.00",TOYOTA,ANDROID
"",Absolutely 💯 beautiful Amen happy with everything 🙏 ❤️,"5.00",LEXUS,ANDROID
WORST APP OF ALL TIME,I have an ev and EVERY GODDAM TIME I wanna charge my car this god awful app never works better off just not even downloading this app,"1.00",TOYOTA,IOS
new update doesnt let you pay,Updated the app and it longer shows any of my car details or anything at all about my car. cant even pay on the app anymore . Also i never received any credentials when i purchased Toyota. Didnt accept the Sirius XM cuz its pointless and now my Toyota app doesnt work properly. scummy practices but good car,"1.00",TOYOTA,IOS
"",Es lo mejor,"5.00",TOYOTA,ANDROID
"",The app is doesn't work.,"1.00",TOYOTA,ANDROID
Most Recent Update Removed Non-Dealer Service Records,"I used to be able to record my service appointments at my favorite auto service provider, who is not a dealer; but now the service record seems to not allow non-dealer appointments. So now I need another app to track that.","3.00",TOYOTA,IOS
"","The app keep crashing, been more then 3 month. Ecen if i refrwsh the cache, delete the data, or reinstall. I keep crashing. I can never use it. They sell us monthly fee for acess to those fonction on the app, and its never working.","1.00",TOYOTA,ANDROID
Fail,"Total failure
Looking for alternatives","1.00",LEXUS,IOS
Paying for this app? Wish I didn’t have to…,"I only have this app for remote start in the winter. I was not told it was required when I bought my pickup, nor was I told I had to pay for remote start. It is glitchy at best. Sometimes it works. Sometimes it doesn’t work. I frequently get notifications that my pickup is unlocked but won’t let me lock it. I physically check the vehicle and it is in fact locked, only to see that the notification date/time was from another day but delivered the notification today. Make sure, if you get notifications, to check that they are recent/current. If internet is slow (wifi or data) it just states it is too slow to log into the app, even though the internet is still fast enough to stream videos. Extraordinary how awful the app is for a paid service. Had I known about the paid subscription service for remote start I would not have purchased the vehicle. It is a major factor in my decision to get rid of my toyota. Getting a vehicle where I don’t have to pay monthly for remote start that doesn’t even work half the time.","1.00",TOYOTA,IOS
Garbage,App won’t connect to the vehicle won’t send a QR code won’t send a passcode so I pay for a service to be able to remote start my truck and this piece of complete garbage doesn’t work. I would steer clear of Toyota and general they are awful.,"1.00",TOYOTA,IOS
Issues with Siri,The app rarely works with voice commands to start/stop the car and also with locking/unlocking the doors.,"2.00",LEXUS,IOS
Embarrassingly Bad,"They updated the UI, wow pretty... But the functions are worse than ever, borderline unusable. If you use the app exactly as intended, it works perfectly, such as remote starting a car that has not been remote started recently and has been locked. BUT If you introduce any complexity, such as physically opening the car (which stops the engine), the state of the app completely breaks. Want to start your car again or even remotely lock it? Nah, it thinks your car is already started and locked. The 10 minutes remote run where doors cannot be opened is also ridiculous and stupid, you realize that remote start is for very hot or cold places. It takes more than 10 minutes to cool down or warm up a car! I don’t want my car stopping when I have already spent gas on warming or cooling it!
App is also really expensive for what you get. Most of the features are basics that other brands offer for free.","1.00",LEXUS,IOS
